# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
7019152780800,1,0,forward_begin,0,-1,0,24
7019155587800,1,0,route_ready,1,1,0,0
7019155587800,1,0,route_ready,1,0,0,0
7019155587900,1,0,route_ready,1,1,0,1
7019155587900,1,0,route_ready,1,0,0,1
7019155587900,1,0,route_ready,1,1,0,2
7019155588000,1,0,route_ready,1,0,0,2
7019155588000,1,0,route_ready,1,1,0,3
7019155588000,1,0,route_ready,1,0,0,3
7019155588000,1,0,route_ready,1,1,0,4
7019155588100,1,0,route_ready,1,0,0,4
7019155588100,1,0,route_ready,1,1,0,5
7019155588100,1,0,route_ready,1,0,0,5
7019155588100,1,0,route_ready,1,0,0,6
7019155588100,1,0,route_ready,1,1,0,6
7019155588200,1,0,route_ready,1,1,0,7
7019155588200,1,0,route_ready,1,0,0,7
7019155588200,1,0,route_ready,1,1,0,8
7019155588200,1,0,route_ready,1,0,0,8
7019155588300,1,0,route_ready,1,1,0,9
7019155588300,1,0,route_ready,1,0,0,9
7019155588300,1,0,route_ready,1,1,0,10
7019155588300,1,0,route_ready,1,0,0,10
7019155588400,1,0,route_ready,1,1,0,11
7019155588400,1,0,route_ready,1,0,0,11
7019155588400,1,0,route_ready,1,0,0,12
7019155588400,1,0,route_ready,1,1,0,12
7019155588500,1,0,route_ready,1,1,0,13
7019155588500,1,0,route_ready,1,0,0,13
7019155588500,1,0,route_ready,1,1,0,14
7019155588500,1,0,route_ready,1,0,0,14
7019155588500,1,0,route_ready,1,1,0,15
7019155588600,1,0,route_ready,1,0,0,15
7019155588600,1,0,route_ready,1,0,0,16
7019155588600,1,0,route_ready,1,1,0,16
7019155588600,1,0,route_ready,1,1,0,17
7019155588700,1,0,route_ready,1,0,0,17
7019155588700,1,0,route_ready,1,1,0,18
7019155588700,1,0,route_ready,1,0,0,18
7019155588700,1,0,route_ready,1,0,0,19
7019155588800,1,0,route_ready,1,1,0,19
7019155588800,1,0,route_ready,1,1,0,20
7019155588800,1,0,route_ready,1,0,0,20
7019155588800,1,0,route_ready,1,1,0,21
7019155588900,1,0,route_ready,1,0,0,21
7019155588900,1,0,route_ready,1,1,0,22
7019155588900,1,0,route_ready,1,0,0,22
7019155588900,1,0,route_ready,1,1,0,23
7019155588900,1,0,route_ready,1,0,0,23
7019155787700,1,0,load_queued,1,1,1,0
7019155787800,1,0,load_queued,1,0,1,1
7019155795400,1,0,consumer_wait_begin,1,1,1,0
7019155829800,1,0,consumer_wait_end,1,1,1,0
7019155832400,1,0,compute_start,1,1,0,0
7019155991900,1,0,compute_end,1,1,0,0
7019155992900,1,0,compute_start,1,0,0,1
7019156113900,1,0,compute_end,1,0,0,1
7019156230700,1,0,forward_end,1,-1,0,24
7019157019900,2,0,forward_begin,0,-1,0,4
7019157748800,2,0,route_ready,1,1,0,0
7019157748900,2,0,route_ready,1,0,0,0
7019157748900,2,0,route_ready,1,1,0,1
7019157748900,2,0,route_ready,1,0,0,1
7019157749000,2,0,route_ready,1,1,0,2
7019157749000,2,0,route_ready,1,0,0,2
7019157749000,2,0,route_ready,1,1,0,3
7019157749000,2,0,route_ready,1,0,0,3
7019157750000,2,0,weight_lru,1,1,0,0
7019157750000,2,0,weight_lru,1,0,0,1
7019157750400,2,0,compute_start,1,1,0,0
7019157850100,2,0,compute_end,1,1,0,0
7019157850500,2,0,compute_start,1,0,0,1
7019157948600,2,0,compute_end,1,0,0,1
7019158044400,2,0,forward_end,1,-1,0,4
7019158076800,3,0,forward_begin,0,-1,0,1
