# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634500922700,1,0,forward_begin,0,-1,0,24
6634503541000,1,0,route_ready,1,1,0,0
6634503541100,1,0,route_ready,1,0,0,0
6634503541200,1,0,route_ready,1,1,0,1
6634503541200,1,0,route_ready,1,0,0,1
6634503541200,1,0,route_ready,1,1,0,2
6634503541300,1,0,route_ready,1,0,0,2
6634503541300,1,0,route_ready,1,1,0,3
6634503541300,1,0,route_ready,1,0,0,3
6634503541300,1,0,route_ready,1,1,0,4
6634503541300,1,0,route_ready,1,0,0,4
6634503541400,1,0,route_ready,1,1,0,5
6634503541400,1,0,route_ready,1,0,0,5
6634503541400,1,0,route_ready,1,0,0,6
6634503541500,1,0,route_ready,1,1,0,6
6634503541500,1,0,route_ready,1,1,0,7
6634503541500,1,0,route_ready,1,0,0,7
6634503541500,1,0,route_ready,1,1,0,8
6634503541600,1,0,route_ready,1,0,0,8
6634503541600,1,0,route_ready,1,1,0,9
6634503541600,1,0,route_ready,1,0,0,9
6634503541600,1,0,route_ready,1,1,0,10
6634503541600,1,0,route_ready,1,0,0,10
6634503541700,1,0,route_ready,1,1,0,11
6634503541700,1,0,route_ready,1,0,0,11
6634503541700,1,0,route_ready,1,0,0,12
6634503541700,1,0,route_ready,1,1,0,12
6634503541800,1,0,route_ready,1,1,0,13
6634503541800,1,0,route_ready,1,0,0,13
6634503541800,1,0,route_ready,1,1,0,14
6634503541800,1,0,route_ready,1,0,0,14
6634503541800,1,0,route_ready,1,1,0,15
6634503541900,1,0,route_ready,1,0,0,15
6634503541900,1,0,route_ready,1,0,0,16
6634503541900,1,0,route_ready,1,1,0,16
6634503541900,1,0,route_ready,1,1,0,17
6634503542000,1,0,route_ready,1,0,0,17
6634503542000,1,0,route_ready,1,1,0,18
6634503542000,1,0,route_ready,1,0,0,18
6634503542000,1,0,route_ready,1,0,0,19
6634503542000,1,0,route_ready,1,1,0,19
6634503542100,1,0,route_ready,1,1,0,20
6634503542100,1,0,route_ready,1,0,0,20
6634503542100,1,0,route_ready,1,1,0,21
6634503542100,1,0,route_ready,1,0,0,21
6634503542200,1,0,route_ready,1,1,0,22
6634503542200,1,0,route_ready,1,0,0,22
6634503542200,1,0,route_ready,1,1,0,23
6634503542200,1,0,route_ready,1,0,0,23
6634503698900,1,0,load_queued,1,1,1,0
6634503699000,1,0,load_queued,1,0,1,1
6634503746800,1,0,consumer_wait_begin,1,1,1,0
6634503805000,1,0,consumer_wait_end,1,1,1,0
6634503808800,1,0,compute_start,1,1,0,0
6634503923500,1,0,compute_end,1,1,0,0
6634503924200,1,0,compute_start,1,0,0,1
6634504022800,1,0,compute_end,1,0,0,1
6634504120900,1,0,forward_end,1,-1,0,24
6634504815100,2,0,forward_begin,0,-1,0,4
6634505450500,2,0,route_ready,1,1,0,0
6634505450500,2,0,route_ready,1,0,0,0
6634505450500,2,0,route_ready,1,1,0,1
6634505450600,2,0,route_ready,1,0,0,1
6634505450600,2,0,route_ready,1,1,0,2
6634505450600,2,0,route_ready,1,0,0,2
6634505450600,2,0,route_ready,1,1,0,3
6634505450700,2,0,route_ready,1,0,0,3
6634505451600,2,0,weight_lru,1,1,0,0
6634505451700,2,0,weight_lru,1,0,0,1
6634505451900,2,0,compute_start,1,1,0,0
6634505539000,2,0,compute_end,1,1,0,0
6634505539400,2,0,compute_start,1,0,0,1
6634505624600,2,0,compute_end,1,0,0,1
6634505711900,2,0,forward_end,1,-1,0,4
6634505738200,3,0,forward_begin,0,-1,0,1
6634506103300,3,0,msa_scan_begin,1,-1,0,2
6634506103400,3,0,msa_scan_end,1,-1,0,2
6634506103500,3,0,msa_select_begin,1,-1,0,2
6634506103700,3,0,msa_select_end,1,-1,0,2
6634506188100,3,0,route_ready,1,1,0,0
6634506188100,3,0,route_ready,1,0,0,0
6634506188700,3,0,weight_lru,1,1,0,0
6634506188800,3,0,weight_lru,1,0,0,1
6634506188900,3,0,compute_start,1,1,0,0
6634506275300,3,0,compute_end,1,1,0,0
6634506275600,3,0,compute_start,1,0,0,1
6634506361700,3,0,compute_end,1,0,0,1
6634506448400,3,0,forward_end,1,-1,0,1
6634506474700,4,0,forward_begin,0,-1,0,1
6634506850900,4,0,msa_scan_begin,1,-1,0,2
6634506851100,4,0,msa_scan_end,1,-1,0,2
6634506851200,4,0,msa_select_begin,1,-1,0,2
6634506851400,4,0,msa_select_end,1,-1,0,2
6634506936800,4,0,route_ready,1,1,0,0
6634506936800,4,0,route_ready,1,0,0,0
6634506937200,4,0,weight_lru,1,1,0,0
6634506937300,4,0,weight_lru,1,0,0,1
6634506937400,4,0,compute_start,1,1,0,0
6634507023000,4,0,compute_end,1,1,0,0
6634507024800,4,0,compute_start,1,0,0,1
6634507110000,4,0,compute_end,1,0,0,1
6634507194100,4,0,forward_end,1,-1,0,1
6634507222400,5,0,forward_begin,0,-1,0,1
6634507590600,5,0,msa_scan_begin,1,-1,0,2
6634507590800,5,0,msa_scan_end,1,-1,0,2
6634507590800,5,0,msa_select_begin,1,-1,0,2
6634507590900,5,0,msa_select_end,1,-1,0,2
6634507679500,5,0,route_ready,1,0,0,0
6634507679500,5,0,route_ready,1,1,0,0
6634507680000,5,0,weight_lru,1,0,0,0
6634507680100,5,0,weight_lru,1,1,0,1
6634507680200,5,0,compute_start,1,0,0,0
6634507766200,5,0,compute_end,1,0,0,0
6634507766400,5,0,compute_start,1,1,0,1
6634507849100,5,0,compute_end,1,1,0,1
6634507940500,5,0,forward_end,1,-1,0,1
6634507966000,6,0,forward_begin,0,-1,0,1
6634508416000,6,0,msa_scan_begin,1,-1,0,2
6634508416100,6,0,msa_scan_end,1,-1,0,2
6634508416200,6,0,msa_select_begin,1,-1,0,2
6634508416300,6,0,msa_select_end,1,-1,0,2
6634508499300,6,0,route_ready,1,1,0,0
6634508499300,6,0,route_ready,1,0,0,0
6634508499700,6,0,weight_lru,1,1,0,0
6634508499800,6,0,weight_lru,1,0,0,1
6634508499900,6,0,compute_start,1,1,0,0
6634508586600,6,0,compute_end,1,1,0,0
6634508586900,6,0,compute_start,1,0,0,1
6634508669200,6,0,compute_end,1,0,0,1
6634508754900,6,0,forward_end,1,-1,0,1
6634508783700,7,0,forward_begin,0,-1,0,1
6634509150200,7,0,msa_scan_begin,1,-1,0,3
6634509150400,7,0,msa_scan_end,1,-1,0,3
6634509150500,7,0,msa_select_begin,1,-1,0,3
6634509150600,7,0,msa_select_end,1,-1,0,3
6634509237500,7,0,route_ready,1,1,0,0
6634509237500,7,0,route_ready,1,0,0,0
6634509237900,7,0,weight_lru,1,1,0,0
6634509238000,7,0,weight_lru,1,0,0,1
6634509238100,7,0,compute_start,1,1,0,0
6634509326200,7,0,compute_end,1,1,0,0
6634509326400,7,0,compute_start,1,0,0,1
6634509411600,7,0,compute_end,1,0,0,1
6634509499100,7,0,forward_end,1,-1,0,1
6634509530600,8,0,forward_begin,0,-1,0,1
6634509888400,8,0,msa_scan_begin,1,-1,0,3
6634509888700,8,0,msa_scan_end,1,-1,0,3
6634509888700,8,0,msa_select_begin,1,-1,0,3
6634509888900,8,0,msa_select_end,1,-1,0,3
6634509979300,8,0,route_ready,1,1,0,0
6634509979300,8,0,route_ready,1,0,0,0
6634509979700,8,0,weight_lru,1,1,0,0
6634509979700,8,0,weight_lru,1,0,0,1
6634509979800,8,0,compute_start,1,1,0,0
6634510067100,8,0,compute_end,1,1,0,0
6634510067400,8,0,compute_start,1,0,0,1
6634510151900,8,0,compute_end,1,0,0,1
6634510240600,8,0,forward_end,1,-1,0,1
6634510266000,9,0,forward_begin,0,-1,0,1
6634510625500,9,0,msa_scan_begin,1,-1,0,3
6634510625800,9,0,msa_scan_end,1,-1,0,3
6634510625900,9,0,msa_select_begin,1,-1,0,3
6634510626000,9,0,msa_select_end,1,-1,0,3
6634510708900,9,0,route_ready,1,1,0,0
6634510708900,9,0,route_ready,1,0,0,0
6634510709400,9,0,weight_lru,1,1,0,0
6634510709400,9,0,weight_lru,1,0,0,1
6634510709500,9,0,compute_start,1,1,0,0
6634510795700,9,0,compute_end,1,1,0,0
6634510795900,9,0,compute_start,1,0,0,1
6634510878900,9,0,compute_end,1,0,0,1
6634510966600,9,0,forward_end,1,-1,0,1
6634510994400,10,0,forward_begin,0,-1,0,1
6634511357800,10,0,msa_scan_begin,1,-1,0,3
6634511358000,10,0,msa_scan_end,1,-1,0,3
6634511358000,10,0,msa_select_begin,1,-1,0,3
6634511358100,10,0,msa_select_end,1,-1,0,3
