# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634647678100,1,0,forward_begin,0,-1,0,3
6634648816400,1,0,route_ready,1,1,0,0
6634648816500,1,0,route_ready,1,0,0,0
6634648816500,1,0,route_ready,1,1,0,1
6634648816600,1,0,route_ready,1,0,0,1
6634648816600,1,0,route_ready,1,1,0,2
6634648816600,1,0,route_ready,1,0,0,2
6634648946900,1,0,load_queued,1,1,1,0
6634648946900,1,0,load_queued,1,0,1,1
6634648955200,1,0,consumer_wait_begin,1,1,1,0
6634648984100,1,0,consumer_wait_end,1,1,1,0
6634648986000,1,0,compute_start,1,1,0,0
6634649094400,1,0,compute_end,1,1,0,0
6634649095100,1,0,compute_start,1,0,0,1
6634649196100,1,0,compute_end,1,0,0,1
6634649305100,1,0,forward_end,1,-1,0,3
6634649341900,2,0,forward_begin,0,-1,0,1
6634649771000,2,0,msa_scan_begin,1,-1,0,1
6634649771100,2,0,msa_scan_end,1,-1,0,1
6634649771200,2,0,msa_select_begin,1,-1,0,1
6634649771300,2,0,msa_select_end,1,-1,0,1
6634649870200,2,0,route_ready,1,1,0,0
6634649870200,2,0,route_ready,1,0,0,0
6634649870700,2,0,weight_lru,1,1,0,0
6634649870800,2,0,weight_lru,1,0,0,1
6634649871000,2,0,compute_start,1,1,0,0
6634649974100,2,0,compute_end,1,1,0,0
6634649974400,2,0,compute_start,1,0,0,1
6634650079000,2,0,compute_end,1,0,0,1
6634650181000,2,0,forward_end,1,-1,0,1
6634650214300,3,0,forward_begin,0,-1,0,1
6634650651600,3,0,msa_scan_begin,1,-1,0,2
6634650651800,3,0,msa_scan_end,1,-1,0,2
6634650651900,3,0,msa_select_begin,1,-1,0,2
6634650652100,3,0,msa_select_end,1,-1,0,2
6634650753800,3,0,route_ready,1,1,0,0
6634650753900,3,0,route_ready,1,0,0,0
6634650754400,3,0,weight_lru,1,1,0,0
6634650754500,3,0,weight_lru,1,0,0,1
6634650754600,3,0,compute_start,1,1,0,0
6634650853100,3,0,compute_end,1,1,0,0
6634650853400,3,0,compute_start,1,0,0,1
6634650954700,3,0,compute_end,1,0,0,1
6634651051700,3,0,forward_end,1,-1,0,1
6634651085900,4,0,forward_begin,0,-1,0,1
6634651512300,4,0,msa_scan_begin,1,-1,0,2
6634651512500,4,0,msa_scan_end,1,-1,0,2
6634651512600,4,0,msa_select_begin,1,-1,0,2
6634651512800,4,0,msa_select_end,1,-1,0,2
6634651608900,4,0,route_ready,1,1,0,0
6634651608900,4,0,route_ready,1,0,0,0
6634651609500,4,0,weight_lru,1,1,0,0
6634651609500,4,0,weight_lru,1,0,0,1
6634651609700,4,0,compute_start,1,1,0,0
6634651709900,4,0,compute_end,1,1,0,0
6634651710200,4,0,compute_start,1,0,0,1
6634651810000,4,0,compute_end,1,0,0,1
6634651909800,4,0,forward_end,1,-1,0,1
6634651940400,5,0,forward_begin,0,-1,0,1
6634652347700,5,0,msa_scan_begin,1,-1,0,2
6634652348000,5,0,msa_scan_end,1,-1,0,2
6634652348000,5,0,msa_select_begin,1,-1,0,2
6634652348200,5,0,msa_select_end,1,-1,0,2
6634652448100,5,0,route_ready,1,0,0,0
6634652448100,5,0,route_ready,1,1,0,0
6634652448600,5,0,weight_lru,1,0,0,0
6634652448600,5,0,weight_lru,1,1,0,1
6634652448700,5,0,compute_start,1,0,0,0
6634652614500,5,0,compute_end,1,0,0,0
6634652614800,5,0,compute_start,1,1,0,1
6634652769000,5,0,compute_end,1,1,0,1
6634652874700,5,0,forward_end,1,-1,0,1
6634652904700,6,0,forward_begin,0,-1,0,1
6634653365600,6,0,msa_scan_begin,1,-1,0,2
6634653365800,6,0,msa_scan_end,1,-1,0,2
6634653365900,6,0,msa_select_begin,1,-1,0,2
6634653366000,6,0,msa_select_end,1,-1,0,2
6634653469800,6,0,route_ready,1,1,0,0
6634653469900,6,0,route_ready,1,0,0,0
6634653470500,6,0,weight_lru,1,1,0,0
6634653470500,6,0,weight_lru,1,0,0,1
6634653470800,6,0,compute_start,1,1,0,0
6634653577700,6,0,compute_end,1,1,0,0
6634653578100,6,0,compute_start,1,0,0,1
6634653686200,6,0,compute_end,1,0,0,1
6634653787900,6,0,forward_end,1,-1,0,1
6634653823700,7,0,forward_begin,0,-1,0,1
6634654249700,7,0,msa_scan_begin,1,-1,0,3
6634654249900,7,0,msa_scan_end,1,-1,0,3
6634654250000,7,0,msa_select_begin,1,-1,0,3
6634654250100,7,0,msa_select_end,1,-1,0,3
6634654353600,7,0,route_ready,1,1,0,0
6634654353600,7,0,route_ready,1,0,0,0
6634654354000,7,0,weight_lru,1,1,0,0
6634654354100,7,0,weight_lru,1,0,0,1
6634654354200,7,0,compute_start,1,1,0,0
6634654463200,7,0,compute_end,1,1,0,0
6634654463600,7,0,compute_start,1,0,0,1
6634654564600,7,0,compute_end,1,0,0,1
6634654667500,7,0,forward_end,1,-1,0,1
6634654699600,8,0,forward_begin,0,-1,0,1
6634655129000,8,0,msa_scan_begin,1,-1,0,3
6634655129200,8,0,msa_scan_end,1,-1,0,3
6634655129300,8,0,msa_select_begin,1,-1,0,3
6634655129400,8,0,msa_select_end,1,-1,0,3
6634655229000,8,0,route_ready,1,1,0,0
6634655229000,8,0,route_ready,1,0,0,0
6634655229500,8,0,weight_lru,1,1,0,0
6634655229500,8,0,weight_lru,1,0,0,1
6634655229600,8,0,compute_start,1,1,0,0
6634655335500,8,0,compute_end,1,1,0,0
6634655335900,8,0,compute_start,1,0,0,1
6634655435900,8,0,compute_end,1,0,0,1
