# colibri-trace,v2
ns,forward,thread,kind,layer,eid,generation,resource
136438174972700,1,0,forward_begin,0,-1,0,24
136438178047600,1,0,route_ready,1,1,0,0
136438178047600,1,0,route_ready,1,0,0,0
136438178047600,1,0,route_ready,1,1,0,1
136438178047700,1,0,route_ready,1,0,0,1
136438178047700,1,0,route_ready,1,1,0,2
136438178047700,1,0,route_ready,1,0,0,2
136438178047800,1,0,route_ready,1,1,0,3
136438178047800,1,0,route_ready,1,0,0,3
136438178047800,1,0,route_ready,1,1,0,4
136438178047800,1,0,route_ready,1,0,0,4
136438178047800,1,0,route_ready,1,1,0,5
136438178047900,1,0,route_ready,1,0,0,5
136438178047900,1,0,route_ready,1,0,0,6
136438178047900,1,0,route_ready,1,1,0,6
136438178047900,1,0,route_ready,1,1,0,7
136438178048000,1,0,route_ready,1,0,0,7
136438178048000,1,0,route_ready,1,1,0,8
136438178048000,1,0,route_ready,1,0,0,8
136438178048000,1,0,route_ready,1,1,0,9
136438178048100,1,0,route_ready,1,0,0,9
136438178049600,1,0,route_ready,1,1,0,10
136438178049600,1,0,route_ready,1,0,0,10
136438178049600,1,0,route_ready,1,1,0,11
136438178049700,1,0,route_ready,1,0,0,11
136438178049700,1,0,route_ready,1,0,0,12
136438178049700,1,0,route_ready,1,1,0,12
136438178049700,1,0,route_ready,1,1,0,13
136438178049799,1,0,route_ready,1,0,0,13
136438178049799,1,0,route_ready,1,1,0,14
136438178049799,1,0,route_ready,1,0,0,14
136438178049799,1,0,route_ready,1,1,0,15
136438178049899,1,0,route_ready,1,0,0,15
136438178049899,1,0,route_ready,1,0,0,16
136438178049899,1,0,route_ready,1,1,0,16
136438178049899,1,0,route_ready,1,1,0,17
136438178049999,1,0,route_ready,1,0,0,17
136438178049999,1,0,route_ready,1,1,0,18
136438178049999,1,0,route_ready,1,0,0,18
136438178049999,1,0,route_ready,1,0,0,19
136438178049999,1,0,route_ready,1,1,0,19
136438178050099,1,0,route_ready,1,1,0,20
136438178050099,1,0,route_ready,1,0,0,20
136438178050099,1,0,route_ready,1,1,0,21
136438178050099,1,0,route_ready,1,0,0,21
136438178050199,1,0,route_ready,1,1,0,22
136438178050199,1,0,route_ready,1,0,0,22
136438178050199,1,0,route_ready,1,1,0,23
136438178050199,1,0,route_ready,1,0,0,23
136438178180099,1,0,load_queued,1,1,1,0
136438178180199,1,0,load_queued,1,0,1,1
136438178187200,1,0,consumer_wait_begin,1,1,1,0
136438178262900,1,0,consumer_wait_end,1,1,1,0
136438178263500,1,0,compute_start,1,1,0,0
136438178392300,1,0,compute_end,1,1,0,0
136438178393000,1,0,compute_start,1,0,0,1
136438178510900,1,0,compute_end,1,0,0,1
136438178640900,1,0,forward_end,1,-1,0,24
136438179555200,2,0,forward_begin,0,-1,0,4
136438181380300,2,0,route_ready,1,1,0,0
136438181380400,2,0,route_ready,1,0,0,0
136438181380400,2,0,route_ready,1,1,0,1
136438181380500,2,0,route_ready,1,0,0,1
136438181380500,2,0,route_ready,1,1,0,2
136438181380500,2,0,route_ready,1,0,0,2
136438181380600,2,0,route_ready,1,1,0,3
136438181380600,2,0,route_ready,1,0,0,3
136438181384900,2,0,weight_lru,1,1,0,0
136438181385100,2,0,weight_lru,1,0,0,1
136438181386799,2,0,compute_start,1,1,0,0
136438181656000,2,0,compute_end,1,1,0,0
136438181656800,2,0,compute_start,1,0,0,1
136438181888400,2,0,compute_end,1,0,0,1
136438182029800,2,0,forward_end,1,-1,0,4
136438182066799,3,0,forward_begin,0,-1,0,1
136438182596400,3,0,msa_scan_begin,1,-1,0,2
136438182596800,3,0,msa_scan_end,1,-1,0,2
136438182596800,3,0,msa_select_begin,1,-1,0,2
136438182597300,3,0,msa_select_end,1,-1,0,2
136438182710500,3,0,route_ready,1,1,0,0
136438182710500,3,0,route_ready,1,0,0,0
136438182711300,3,0,weight_lru,1,1,0,0
136438182711300,3,0,weight_lru,1,0,0,1
136438182711800,3,0,compute_start,1,1,0,0
136438182828700,3,0,compute_end,1,1,0,0
136438182828900,3,0,compute_start,1,0,0,1
136438182965099,3,0,compute_end,1,0,0,1
136438183079699,3,0,forward_end,1,-1,0,1
136438183118900,4,0,forward_begin,0,-1,0,1
136438183600500,4,0,msa_scan_begin,1,-1,0,2
136438183600800,4,0,msa_scan_end,1,-1,0,2
136438183600800,4,0,msa_select_begin,1,-1,0,2
136438183600900,4,0,msa_select_end,1,-1,0,2
136438183708400,4,0,route_ready,1,1,0,0
136438183708400,4,0,route_ready,1,0,0,0
136438183708800,4,0,weight_lru,1,1,0,0
136438183708800,4,0,weight_lru,1,0,0,1
136438183708900,4,0,compute_start,1,1,0,0
136438183822100,4,0,compute_end,1,1,0,0
136438183822200,4,0,compute_start,1,0,0,1
136438183940299,4,0,compute_end,1,0,0,1
136438184053000,4,0,forward_end,1,-1,0,1
136438184093199,5,0,forward_begin,0,-1,0,1
136438184569000,5,0,msa_scan_begin,1,-1,0,2
136438184569200,5,0,msa_scan_end,1,-1,0,2
136438184569300,5,0,msa_select_begin,1,-1,0,2
136438184569400,5,0,msa_select_end,1,-1,0,2
136438184683100,5,0,route_ready,1,0,0,0
136438184683200,5,0,route_ready,1,1,0,0
136438184683400,5,0,weight_lru,1,0,0,0
136438184683500,5,0,weight_lru,1,1,0,1
136438184683500,5,0,compute_start,1,0,0,0
136438184798400,5,0,compute_end,1,0,0,0
136438184798600,5,0,compute_start,1,1,0,1
136438184915800,5,0,compute_end,1,1,0,1
136438185027900,5,0,forward_end,1,-1,0,1
136438185064199,6,0,forward_begin,0,-1,0,1
136438185548799,6,0,msa_scan_begin,1,-1,0,2
136438185548999,6,0,msa_scan_end,1,-1,0,2
136438185548999,6,0,msa_select_begin,1,-1,0,2
136438185549099,6,0,msa_select_end,1,-1,0,2
136438185659999,6,0,route_ready,1,1,0,0
136438185659999,6,0,route_ready,1,0,0,0
136438185665800,6,0,weight_lru,1,1,0,0
136438185665800,6,0,weight_lru,1,0,0,1
136438185666000,6,0,compute_start,1,1,0,0
136438185780400,6,0,compute_end,1,1,0,0
136438185780600,6,0,compute_start,1,0,0,1
136438185905400,6,0,compute_end,1,0,0,1
136438186025500,6,0,forward_end,1,-1,0,1
136438186063500,7,0,forward_begin,0,-1,0,1
136438186569499,7,0,msa_scan_begin,1,-1,0,3
136438186569699,7,0,msa_scan_end,1,-1,0,3
136438186569699,7,0,msa_select_begin,1,-1,0,3
136438186569899,7,0,msa_select_end,1,-1,0,3
136438186683300,7,0,route_ready,1,1,0,0
136438186683400,7,0,route_ready,1,0,0,0
136438186683700,7,0,weight_lru,1,1,0,0
136438186683700,7,0,weight_lru,1,0,0,1
136438186683800,7,0,compute_start,1,1,0,0
136438186796700,7,0,compute_end,1,1,0,0
136438186796900,7,0,compute_start,1,0,0,1
136438186913499,7,0,compute_end,1,0,0,1
136438187026100,7,0,forward_end,1,-1,0,1
136438187062499,8,0,forward_begin,0,-1,0,1
136438187657100,8,0,msa_scan_begin,1,-1,0,3
136438187657500,8,0,msa_scan_end,1,-1,0,3
136438187657500,8,0,msa_select_begin,1,-1,0,3
136438187657800,8,0,msa_select_end,1,-1,0,3
136438187777399,8,0,route_ready,1,1,0,0
136438187777399,8,0,route_ready,1,0,0,0
136438187777799,8,0,weight_lru,1,1,0,0
136438187777799,8,0,weight_lru,1,0,0,1
136438187778100,8,0,compute_start,1,1,0,0
136438187890800,8,0,compute_end,1,1,0,0
136438187891000,8,0,compute_start,1,0,0,1
136438188004000,8,0,compute_end,1,0,0,1
136438188120400,8,0,forward_end,1,-1,0,1
136438188158700,9,0,forward_begin,0,-1,0,1
136438188654200,9,0,msa_scan_begin,1,-1,0,3
136438188654500,9,0,msa_scan_end,1,-1,0,3
136438188654500,9,0,msa_select_begin,1,-1,0,3
136438188654700,9,0,msa_select_end,1,-1,0,3
136438188767000,9,0,route_ready,1,1,0,0
136438188767000,9,0,route_ready,1,0,0,0
136438188767299,9,0,weight_lru,1,1,0,0
136438188767299,9,0,weight_lru,1,0,0,1
136438188767399,9,0,compute_start,1,1,0,0
136438188882700,9,0,compute_end,1,1,0,0
136438188882900,9,0,compute_start,1,0,0,1
136438188994000,9,0,compute_end,1,0,0,1
136438189111799,9,0,forward_end,1,-1,0,1
136438189148600,10,0,forward_begin,0,-1,0,1
136438189641100,10,0,msa_scan_begin,1,-1,0,3
136438189641300,10,0,msa_scan_end,1,-1,0,3
136438189641400,10,0,msa_select_begin,1,-1,0,3
136438189641500,10,0,msa_select_end,1,-1,0,3
136438189761299,10,0,route_ready,1,1,0,0
136438189761299,10,0,route_ready,1,0,0,0
136438189761599,10,0,weight_lru,1,1,0,0
136438189761700,10,0,weight_lru,1,0,0,1
136438189761800,10,0,compute_start,1,1,0,0
136438189878800,10,0,compute_end,1,1,0,0
136438189879000,10,0,compute_start,1,0,0,1
136438189989200,10,0,compute_end,1,0,0,1
136438190108400,10,0,forward_end,1,-1,0,1
136438190144000,11,0,forward_begin,0,-1,0,1
136438190623100,11,0,msa_scan_begin,1,-1,0,4
136438190623400,11,0,msa_scan_end,1,-1,0,4
136438190623400,11,0,msa_select_begin,1,-1,0,4
136438190623600,11,0,msa_select_end,1,-1,0,4
136438190734100,11,0,route_ready,1,0,0,0
136438190734200,11,0,route_ready,1,1,0,0
136438190734500,11,0,weight_lru,1,0,0,0
136438190734500,11,0,weight_lru,1,1,0,1
136438190734600,11,0,compute_start,1,0,0,0
136438190857600,11,0,compute_end,1,0,0,0
136438190857700,11,0,compute_start,1,1,0,1
136438190975600,11,0,compute_end,1,1,0,1
136438191090700,11,0,forward_end,1,-1,0,1
136438191127500,12,0,forward_begin,0,-1,0,1
136438191677000,12,0,msa_scan_begin,1,-1,0,4
136438191677300,12,0,msa_scan_end,1,-1,0,4
136438191677300,12,0,msa_select_begin,1,-1,0,4
136438191677500,12,0,msa_select_end,1,-1,0,4
136438191790899,12,0,route_ready,1,1,0,0
136438191790899,12,0,route_ready,1,0,0,0
136438191791400,12,0,weight_lru,1,1,0,0
136438191791400,12,0,weight_lru,1,0,0,1
136438191791600,12,0,compute_start,1,1,0,0
136438191941700,12,0,compute_end,1,1,0,0
136438191941900,12,0,compute_start,1,0,0,1
136438192060100,12,0,compute_end,1,0,0,1
136438192177400,12,0,forward_end,1,-1,0,1
136438192213000,13,0,forward_begin,0,-1,0,1
136438192711999,13,0,msa_scan_begin,1,-1,0,4
136438192712399,13,0,msa_scan_end,1,-1,0,4
136438192712500,13,0,msa_select_begin,1,-1,0,4
136438192712800,13,0,msa_select_end,1,-1,0,4
136438192829100,13,0,route_ready,1,1,0,0
136438192829100,13,0,route_ready,1,0,0,0
136438192829900,13,0,weight_lru,1,1,0,0
136438192830099,13,0,weight_lru,1,0,0,1
136438192830399,13,0,compute_start,1,1,0,0
136438192959600,13,0,compute_end,1,1,0,0
136438192959999,13,0,compute_start,1,0,0,1
136438193081800,13,0,compute_end,1,0,0,1
136438193199400,13,0,forward_end,1,-1,0,1
136438193236500,14,0,forward_begin,0,-1,0,1
136438193746000,14,0,msa_scan_begin,1,-1,0,4
136438193746400,14,0,msa_scan_end,1,-1,0,4
136438193746500,14,0,msa_select_begin,1,-1,0,4
136438193746700,14,0,msa_select_end,1,-1,0,4
136438193864900,14,0,route_ready,1,1,0,0
136438193864900,14,0,route_ready,1,0,0,0
136438193865700,14,0,weight_lru,1,1,0,0
136438193865800,14,0,weight_lru,1,0,0,1
136438193866099,14,0,compute_start,1,1,0,0
136438194006800,14,0,compute_end,1,1,0,0
136438194007000,14,0,compute_start,1,0,0,1
136438194121700,14,0,compute_end,1,0,0,1
136438194239400,14,0,forward_end,1,-1,0,1
136438194274400,15,0,forward_begin,0,-1,0,1
136438194762100,15,0,msa_scan_begin,1,-1,0,5
136438194762400,15,0,msa_scan_end,1,-1,0,5
136438194762500,15,0,msa_select_begin,1,-1,0,5
136438194762700,15,0,msa_select_end,1,-1,0,5
136438194878600,15,0,route_ready,1,0,0,0
136438194878600,15,0,route_ready,1,1,0,0
136438194879099,15,0,weight_lru,1,0,0,0
136438194879199,15,0,weight_lru,1,1,0,1
136438194879499,15,0,compute_start,1,0,0,0
136438194997000,15,0,compute_end,1,0,0,0
136438194997199,15,0,compute_start,1,1,0,1
136438195103800,15,0,compute_end,1,1,0,1
136438195229900,15,0,forward_end,1,-1,0,1
136438195269800,16,0,forward_begin,0,-1,0,1
136438195795500,16,0,msa_scan_begin,1,-1,0,5
136438195795900,16,0,msa_scan_end,1,-1,0,5
136438195795900,16,0,msa_select_begin,1,-1,0,5
136438195796099,16,0,msa_select_end,1,-1,0,5
136438195986600,16,0,route_ready,1,1,0,0
136438195986700,16,0,route_ready,1,0,0,0
136438195987399,16,0,weight_lru,1,1,0,0
136438195987499,16,0,weight_lru,1,0,0,1
136438195987699,16,0,compute_start,1,1,0,0
136438196117099,16,0,compute_end,1,1,0,0
